1	Viki Llundsbrand (David Brunskill)
1	Ulrich Kiesow
1	Troy Denning, Gordon R. Dickson, Cory Glaberson
1	Tony Lee
1	Tom Wham
1	Tom McGowen
1	Todd Johnson
1	Timm Daniels [Тим Дениълс] (Lyubomir Nikolov [Любомир Николов])
1	Tim Hartnell
1	Tim Child, Dave Morris
1	Thomas Ainlay, Jr
1	Terry K. Amthor
1	Terry Hunter
1	Susan Nanus, Marc Kornblatt
1	Susan Mathews, John David Ruemmler
1	Susan Lawson
1	Sue Behrent
1	Stuart Hopen, Sean Deming, Catherine Yronwode
1	Stewart Cowley
1	Steve Perry
1	Steve Perrin
1	Steve Morrison, Alex Jenkins
1	Steve Johnson, Leighton Connor, Dale French
1	Steve Jackson (United States), David Martin
1	Stephen Overholser
1	Stephanie Spinner
1	Stefan E. Jones
1	Stan Nicholls
1	Sophie de Vogelas
1	Silvester Gold [Силвестър Голд]
1	Shannon Gilligan, R.A. Montgomery
1	Scott Siegel
1	Sarah Mlynowski
1	Sara James
1	Sara
1	Sandra D. Bricker
1	Samuel Delaney (editing), Marilyn Hacker (editing)
1	Salley Marcey
1	Sahil Asthana
1	S.M. Ballard
1	S. Spano
1	Ruth Huart
1	Ruth Ashby
1	Rusty Hallock
1	Rukmini
1	Rose Marie Goble
1	Ronald Kidd
1	Roger Tabor
1	Robin Stevenson, Bruce Stevenson
1	Robertson Sondoh Jr
1	Roberto Morraglia
1	Robert Wolf
1	Robert W. Walker
1	Robert Simpson
1	Robert Saffold, Ann Smalley
1	Robert Mountain (R.A. Montgomery)
1	Robert McNear
1	Robert Loren Fleming
1	Robert Joseph Levy
1	Robert J. Hughes, Peter Pipe
1	Robert Hirschfeld
1	Robert DiChiara
1	Robert Coulson
1	Robert Asprin, Bill Fawcett
1	Richard Reinsmith
1	Richard Petit
1	Richard Mueller
1	Richard Glatzer
1	Richard Barron
1	Richard Baker
1	Rich Blanchette
1	Ricardo Alcántara
1	Regina Oehler Fultz
1	Ray Winninger
1	Randy Petersen
1	Ralph Reese, Susan Saunders
1	Rachel Timms, Laurence Hayes
1	R.W. Stroh
1	R.G. Austin, Nancy Lamb
1	R.A. Montgomery, Shannon Gilligan
1	R.A. Montgomery, Edward Packard
1	Péter Kardos, Nyári Gábor
1	Publisher: Shannon Gilligan. Bantam, 1992
1	Publisher: Scholastic,
1	Pip Baker, Jane Baker
1	Pierre de Laubier
1	Pierre Rossano
1	Pierre Cléquin, Marcel Laverdet
1	Phillip's Head. Jason Shiga.
1	Philip Neumann
1	Philip Martin
1	Peter Schweighofer
1	Peter Ryan
1	Paul Thiès
1	Paul Mason
1	Paul L. Meier
1	Paul Kupperberg
1	Paul J. Loth
1	Pat Hewitt
1	Pat Apodaca
1	Paola Picasso
1	O'Ann Steere
1	Norman A. Crowder
1	Nicholas (Nick) Pollotta
1	Nicholas (Nick) Pollota
1	Neil S. Wilson
1	Neil Randall, Alexander S. Cochrane, Jr. (interview)
1	Nancy Virginia Varian
1	Nancy Holder
1	Nancy Bailey
1	Miranda Clarke
1	Milo Dennison, Lois Cantwell
1	Mike Brines (original), Michael A. Stackpole (reissue)
1	Michel Pagel, Dominique Monrocq, Doug Headline
1	Michel Pagel
1	Michael Szymanski
1	Michael Reaves
1	Michael P. Price
1	Michael J. Dodge (John M. Ford)
1	Michael Holt
1	Michael Avallone. 1978. ISBN: 059005368X
1	Michael Andrews
1	Michael Andews
1	Meryl Siegman
1	Megan Stine, H. William Stine, Susan M. Zakar (programming)
1	Megan Stine, H. William Stein
1	Matthew J. Costello, Laird A. Brownlee (editing)
1	Matthew J. Costello, Harris Greene
1	Matt Youngmark
1	Matt Wayne, Roger Peckinpaugh
1	Mary L. Kirchoff, James M. Ward
1	Mary Kirchoff
1	Mary Ellen Bradford
1	Mary Clark
1	Martin Allen
1	Mark Perry, Megahn Perry
1	Mark Fowler
1	Mark Evans, Csaba Dancs
1	Marie Jacks
1	Marc Newman
1	Marc Acres, Harris Greene (essay)
1	M.W. Bolton
1	M.V. Carey
1	M.L. Kennedy
1	M. Masters, George Edward Stanley
1	Louis Anderson
1	Lorraine Freeney, Tara McCarthy
1	Lisa Norby
1	Linda Williams Aber
1	Linda Jacobs
1	Len Neufeld, Michael Banks
1	Lee Russell
1	Lee Mountain. 1978. ISBN: 0890611483
1	Lee Geok Boi
1	Lee Enderlin
1	Laurie Pascal, Jamie Pascal
1	Laura J. Burns, Melinda Metz
1	Laura French
1	Larry Mike Garmon
1	Lara Bergen
1	L. Douglas Garrett, George MacDonald, Steve Peterson
1	Kristi Russell
1	Kimberly Kindya
1	Kim Ostrow
1	Kim Jordan
1	Kevin Scally
1	Kevin Barrett, Saul Peters
1	Kendall Adams
1	Ken Antilles
1	Keith P. Phillips
1	Keith A. Abbott
1	Kaye Dobkin
1	Katy Brown
1	Kate Novak (-Grubb)
1	Karen Ball
1	K.C. Edwards
1	K. Martin Aul
1	Justine Fontes, Ron Fontes
1	Justin Somper
1	Julie Cahn
1	Judy Laik
1	Judy Gitenstein
1	Joël Augros, Patrick Gervaise
1	John Woodcock
1	John Whitman
1	John Norton
1	John Gregory Betancourt
1	John David Ruemmler
1	John Clark Pratt
1	John C. Souter
1	Joey Dubuc
1	Jo Duffy
1	Jim Simon
1	Jim Eckman
1	Jim Bambra, Stephen Hand
1	Jerry Epperson, Tom Moldvay
1	Jerry Epperson, James M. Ward
1	Jennifer Bach, Amy Brost
1	Jeffrey Stone (István Nemes), Robert Knight
1	Jeff Grubb
1	Jeff Burk
1	Jeannie Black (Jean F. Blashfield)
1	Jean-Luc Cambier, Éric Verhoest
1	Jean Waricha
1	Jean Nugent
1	Jean M. Favors
1	Jean Dubost
1	Jean (F.) Blashfield, Beverly Charette
1	Jay Leibold (Jay Montgomery)
1	Jaume Ribera
1	Janet Hubbard-Brown, R.A. Montgomery
1	Janet Bly
1	Jane O'Connor, Jim O'Connor
1	Jamie Pascal, Laurie Pascal
1	James Marciniak, Steven Marciniak
1	James H. English
1	James Brumbaugh
1	James B. Owens, Paul Sanborn
1	Jake T. Forbes
1	Jahnna M. Malcolm
1	Jacqueline (Marty Aboitiz de) Balcells, Ana María Güiraldes (Camerati), Alberto I. Balcells, Carlos Iturra (essay)
1	Jacqueline (Marty Aboitiz de) Balcells, Ana María Güiraldes (Camerati), Alberto I. Balcells, Ana María Larraín (afterword)
1	Jacqueline (Marty Aboitiz de) Balcells, Ana María Güiraldes (Camerati), Alberto I. Balcells
1	Jacek Ciesielski
1	J.E. Bright
1	J.D. Lowder
1	J. Robert King, Ed Greenwood
1	Ian Livingstone, Jamie Thomson
1	Ian Livingstone, Carl Sargent
1	Ian Borouge (János Boruzs)
1	Iain Smyth
1	Hillary Wolfe
1	Heike Kubasch
1	Heather McElhatton
1	Heather Fisher
1	Harry Harrison
1	Gregory Alegi, Andrea Angiolino
1	Greg(ory) Gorden
1	Greg Hill
1	Greg Farshtey
1	Greg Fahlgren, Nancy Fahlgren
1	Greg Costikyan, Daniel Seth Gelber, Eric Goldberg, Ken Rolston
1	Grace C. Martin, Ann Smalley
1	Gillian Rubinstein
1	Gerard Christopher Klug, Greg(ory) Gordon, Robert Kern, Neil Randall
1	George Shea
1	George Horton
1	George Blekbak [Джордж Блекбък]
1	George Barr
1	Gene DeWeese, Robert Coulson
1	Fred Graver
1	Fray
1	Frank Topper
1	Frank Pfeifer
1	Franco Cardini, Antonio Clemente, Salvatore Clemente
1	Francine Boillot
1	Fran Manushkin
1	Fleep. Jason Shiga.
1	Fiona Cummings, Stephen Thraves
1	Felix Von Moschzisker
1	Evelyn Bacon, Dominique Dupuis
1	Erica Pass
1	Eric Weiner
1	Emma Wolf
1	Emma Campbell Webster
1	Ellen Frankel, Robin Stevenson
1	Elizabeth Steel
1	Elizabeth McConnell
1	Elizabeth Lenhard
1	Elizabeth Crary
1	Elizabeth Buchan, Tessa Strickland
1	Eileen Buckholtz, Ruth Glick
1	Edward Lasker
1	Edward Compton
1	Edag, S.A
1	Ed Greenwood
1	E.S. Mooney
1	Dougles Niles
1	Douglas Terman
1	Douglas Neman
1	Douglas Hill
1	Douglas Colligan
1	Douglas Carrel
1	Dougal Dixon
1	Doug Headline, Stéphane Salvetti
1	Doug Headline, Michel Pagel, Fred Gordon
1	Doug Headline, Jacques Collin
1	Doug Headline, Dominique Monrocq, Jacques Collin
1	Donald Hinchey
1	Dominique Tellier
1	Dominique Monrocq, Doug Headline
1	Dominique Dupuis
1	Dinah Sawyer
1	Diana Gregory
1	Dezra Despain
1	Denis Bond
1	Della Rowland
1	Dee Sand
1	Dean Feldmeyer
1	David Steven Moskowitz
1	David Langford (editing)
1	David Hill
1	David E. Rye, Craig R. Hickman
1	David Bischoff
1	David Anthony Kraft, Susan M. Zakar (programming)
1	David Anthony Kraft
1	David (Zeb) Cook, Peter Archer
1	Dave Morris, Yve Newnham
1	Dave Gross
1	Daryl Lucas
1	Danith Clausen
1	Dana Kramer, Doug Chaffee, Harris Greene (essay)
1	Dan Slott
1	Dale M. Brethower
1	Curtis Smith
1	Creede Lambard, Sharleen Lambard
1	Craig R. Hickman
1	Cornelius Rumstuckle (J.H. (Herbie) Brennan)
1	Clayton Emery, Earl Wajenberg
1	Christopher Manson
1	Christopher Macdoell [Кристофър Макдоел] (Elena Pavlova [Елена Павлова])
1	Christine DeVault
1	Christian Lamblin
1	Catherine Hapka
1	Catherine Daly-Weir
1	Casey Todd
1	Carolyn Meyer
1	Caroline B. Cooney
1	Carole Carreck
1	Carol Manners
1	Carlton Mellick III
1	Carl Cassler, G.V. Macrae
1	Carey Wallace
1	C.Z. Dunn
1	Brynne Stephens
1	Bruno Giraudon
1	Brandon Neff
1	Bobbi J. Weiss, David Cody Weiss
1	Bob Darden
1	Bill Hampton, Luann Hampton
1	Beverly E. Kostich
1	Beverly Charette, Mario D. Macari, Jr
1	Betty Jo Schuler
