id	box	folder	series	series_no	title	author	publisher	citation	book_id	series_id
06-15	06	15	Choose Your Own Nightmare		It Happened at Camp Pine Tree			It Happened at Camp Pine Tree. Author: Janet Hubbard-Brown, R.A. Montgomery. Publisher: Bantam, 1996. Publisher series no: 89. Book ID: 663.	663	89
06-16	06	16	Choose Your Own Nightmare		Watch Out for Room 13			Watch Out for Room 13. Author: Laban Carrick Hill. Publisher: Bantam, 1996. Publisher series no: 89. Book ID: 664.	664	89
06-17	06	17	Choose Your Own Nightmare		How I Became a Freak			How I Became a Freak. Author: Richard Brightfield. Publisher: Bantam, 1997. ISBN: 0553484605. Publisher series no: 89. Book ID: 668. 84 pages.	668	89
06-18	06	18	Choose Your Own Nightmare		Welcome to Horror Hospital			Welcome to Horror Hospital. Author: Laban Carrick Hill. Publisher: Bantam, 1997. Publisher series no: 89. Book ID: 669.	669	89
06-19	06	19	Choose Your Own Nightmare		Attack of the Living Mask			Attack of the Living Mask. Author: Robert Hirschfeld. Publisher: Bantam, 1997. Publisher series no: 89. Book ID: 670.	670	89
06-20	06	20	Choose Your Own Nightmare		Toy Shop of Terror, The			Toy Shop of Terror, The. Author: Laban Carrick Hill. Publisher: Bantam, 1997. Publisher series no: 89. Book ID: 671.	671	89
06-22	06	22	Give Yourself Goosebumps		Night in Werewolf Woods			Night in Werewolf Woods. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 059067319X. Publisher series no: 82. Book ID: 1203. 133 pages.	1203	82
06-23	06	23	Give Yourself Goosebumps		Beware of the Purple Peanut Butter			Beware of the Purple Peanut Butter. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 0590673203. Publisher series no: 82. Book ID: 1204. 135 pages.	1204	82
06-24	06	24	Give Yourself Goosebumps		Under the Magician's Spell			Under the Magician's Spell. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 0590673211. Publisher series no: 82. Book ID: 1205. 135 pages.	1205	82
06-25	06	25	Give Yourself Goosebumps		Curse of the Creeping Coffin, The			Curse of the Creeping Coffin, The. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 0590847651. Publisher series no: 82. Book ID: 1206. 132 pages.	1206	82
06-26	06	26	Give Yourself Goosebumps		Knight in Screaming Armor, The			Knight in Screaming Armor, The. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 059084766X. Publisher series no: 82. Book ID: 1207. 136 pages.	1207	82
06-27	06	27	Give Yourself Goosebumps		Diary of a Mad Mummy			Diary of a Mad Mummy. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 0590847678. Publisher series no: 82. Book ID: 1208. 136 pages.	1208	82
06-28	06	28	Give Yourself Goosebumps		Deep in the Jungle of Doom			Deep in the Jungle of Doom. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 0590847686. Publisher series no: 82. Book ID: 1209. 136 pages.	1209	82
06-29	06	29	Give Yourself Goosebumps		Welcome to the Wicked Wax Museum			Welcome to the Wicked Wax Museum. Author: R.L. Stine. Publisher: Scholastic, 1996. ISBN: 0590847724. Publisher series no: 82. Book ID: 1210. 137 pages.	1210	82
06-30	06	30	Give Yourself Goosebumps		Scream of the Evil Genie			Scream of the Evil Genie. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590847732. Publisher series no: 82. Book ID: 1211. 137 pages.	1211	82
06-31	06	31	Give Yourself Goosebumps		Creepy Creations of Professor Shock, The			Creepy Creations of Professor Shock, The. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590847740. Publisher series no: 82. Book ID: 1212. 135 pages.	1212	82
06-32	06	32	Give Yourself Goosebumps		Please Don't Feed the Vampire			Please Don't Feed the Vampire. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590934775. Publisher series no: 82. Book ID: 1213. 137 pages.	1213	82
06-33	06	33	Give Yourself Goosebumps		Secret Agent Grandma			Secret Agent Grandma. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590847759. Publisher series no: 82. Book ID: 1214. 131 pages.	1214	82
06-34	06	34	Give Yourself Goosebumps		Little Comic Shop of Horrors			Little Comic Shop of Horrors. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 059093483X. Publisher series no: 82. Book ID: 1215. 137 pages.	1215	82
06-35	06	35	Give Yourself Goosebumps		Attack of the Beastly Baby-Sitter			Attack of the Beastly Baby-Sitter. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590934856. Publisher series no: 82. Book ID: 1216. 136 pages.	1216	82
06-36	06	36	Give Yourself Goosebumps		Escape from Camp Run-For-Your-Life			Escape from Camp Run-For-Your-Life. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590934899. Publisher series no: 82. Book ID: 1217. 137 pages.	1217	82
06-37	06	37	Give Yourself Goosebumps		Toy Terror: Batteries Included			Toy Terror: Batteries Included. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590934929. Publisher series no: 82. Book ID: 1218. 137 pages.	1218	82
06-38	06	38	Give Yourself Goosebumps		Twisted Tale of Tiki Island, The			Twisted Tale of Tiki Island, The. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590935003. Publisher series no: 82. Book ID: 1219. 137 pages.	1219	82
06-39	06	39	Give Yourself Goosebumps		Return to the Carnival of Horrors			Return to the Carnival of Horrors. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590210629. Publisher series no: 82. Book ID: 1220. 137 pages.	1220	82
06-40	06	40	Give Yourself Goosebumps		Zapped in Space			Zapped in Space. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590397745. Publisher series no: 82. Book ID: 1221. 137 pages.	1221	82
06-41	06	41	Give Yourself Goosebumps		Lost in Stinkeye Swamp			Lost in Stinkeye Swamp. Author: R.L. Stine. Publisher: Scholastic, 1997. ISBN: 0590397753. Publisher series no: 82. Book ID: 1222. 134 pages.	1222	82
06-42	06	42	Give Yourself Goosebumps		Shop Till You Drop...Dead			Shop Till You Drop...Dead! Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590397761. Publisher series no: 82. Book ID: 1223. 133 pages.	1223	82
06-43	06	43	Give Yourself Goosebumps		Alone in Snakebite Canyon			Alone in Snakebite Canyon. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590399977. Publisher series no: 82. Book ID: 1224. 137 pages.	1224	82
06-44	06	44	Give Yourself Goosebumps		Checkout Time at the Dead-End Hotel			Checkout Time at the Dead-End Hotel. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590399985. Publisher series no: 82. Book ID: 1225. 140 pages.	1225	82
06-45	06	45	Give Yourself Goosebumps		Night of a Thousand Claws			Night of a Thousand Claws. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590400347. Publisher series no: 82. Book ID: 1226. 137 pages.	1226	82
06-46	06	46	Give Yourself Goosebumps		Invaders from the Big Screen			Invaders from the Big Screen. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590402897. Publisher series no: 82. Book ID: 1227. 137 pages.	1227	82
06-47	06	47	Give Yourself Goosebumps		You're Plant Food			You're Plant Food. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590419749. Publisher series no: 82. Book ID: 1228. 136 pages.	1228	82
06-48	06	48	Give Yourself Goosebumps		Werewolf of Twisted Tree Lodge, The			Werewolf of Twisted Tree Lodge, The. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590463063. Publisher series no: 82. Book ID: 1229. 137 pages.	1229	82
06-49	06	49	Give Yourself Goosebumps		It's Only a Nightmare			It's Only a Nightmare! Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590767852. Publisher series no: 82. Book ID: 1230. 137 pages.	1230	82
06-50	06	50	Give Yourself Goosebumps		It Came from the Internet			It Came from the Internet. Author: R.L. Stine. Publisher: Scholastic, 1999. ISBN: 0590516655. Publisher series no: 82. Book ID: 1231. 135 pages.	1231	82
06-51	06	51	Give Yourself Goosebumps		Elevator to Nowhere			Elevator to Nowhere. Author: R.L. Stine. Publisher: Scholastic, 1999. ISBN: 0590516701. Publisher series no: 82. Book ID: 1232. 136 pages.	1232	82
06-52	06	52	Give Yourself Goosebumps		Hocus-Pocus Horror			Hocus-Pocus Horror. Author: R.L. Stine. Publisher: Scholastic, 1999. Publisher series no: 82. Book ID: 1233.	1233	82
06-53	06	53	Give Yourself Goosebumps		Ship of Ghouls			Ship of Ghouls. Author: R.L. Stine. Publisher: Scholastic, 1999. Publisher series no: 82. Book ID: 1234.	1234	82
06-54	06	54	Give Yourself Goosebumps		Escape from Horror House			Escape from Horror House. Author: R.L. Stine. Publisher: Scholastic, 1999. Publisher series no: 82. Book ID: 1235.	1235	82
06-55	06	55	Give Yourself Goosebumps		Into the Twister of Terror			Into the Twister of Terror. Author: R.L. Stine. Publisher: Scholastic, 1999. Publisher series no: 82. Book ID: 1236.	1236	82
06-56	06	56	Give Yourself Goosebumps		Scary Birthday to You			Scary Birthday to You! Author: R.L. Stine. Publisher: Scholastic, 1999. Publisher series no: 82. Book ID: 1237.	1237	82
06-57	06	57	Give Yourself Goosebumps		Zombie School			Zombie School. Author: R.L. Stine. Publisher: Scholastic, 1999. Publisher series no: 82. Book ID: 1238.	1238	82
06-58	06	58	Give Yourself Goosebumps		Danger Time			Danger Time. Author: R.L. Stine. Publisher: Scholastic, 2000. Publisher series no: 82. Book ID: 1239.	1239	82
06-59	06	59	Give Yourself Goosebumps		All-Day Nightmare			All-Day Nightmare. Author: R.L. Stine. Publisher: Scholastic, 2000. Publisher series no: 82. Book ID: 1240.	1240	82
07-01	07	01	Give Yourself Goosebumps Special Edition		Into the Jaws of Doom			Into the Jaws of Doom. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 059039777X. Publisher series no: 184. Book ID: 1242. 238 sections (plus 10 pages of introductory material and rules).	1242	184
07-02	07	02	Give Yourself Goosebumps Special Edition		Return to Terror Tower			Return to Terror Tower. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590399993. Publisher series no: 184. Book ID: 1243. 136 pages.	1243	184
07-03	07	03	Give Yourself Goosebumps Special Edition		Trapped in the Circus of Fear			Trapped in the Circus of Fear. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 059041920X. Publisher series no: 184. Book ID: 1244. 131 pages.	1244	184
07-04	07	04	Give Yourself Goosebumps Special Edition		One Night in Payne House			One Night in Payne House. Author: R.L. Stine. Publisher: Scholastic, 1998. ISBN: 0590433784. Publisher series no: 184. Book ID: 1245. 135 pages.	1245	184
07-05	07	05	Give Yourself Goosebumps Special Edition		Curse of the Cave Creatures, The			Curse of the Cave Creatures, The. Author: R.L. Stine. Publisher: Scholastic, 1999. ISBN: 0590187341. Publisher series no: 184. Book ID: 1246. 136 pages.	1246	184
07-06	07	06	Give Yourself Goosebumps Special Edition		Revenge of the Body Squeezers			Revenge of the Body Squeezers. Author: R.L. Stine. Publisher: Scholastic, 1999. ISBN: 0590516744. Publisher series no: 184. Book ID: 1247. 134 pages.	1247	184
07-07	07	07	Give Yourself Goosebumps Special Edition		Trick or... Trapped			Trick or... Trapped! Author: R.L. Stine. Publisher: Scholastic, 1999. ISBN: 0590993933. Publisher series no: 184. Book ID: 1248. 135 pages.	1248	184
07-08	07	08	Give Yourself Goosebumps Special Edition		Weekend at Poison Lake			Weekend at Poison Lake. Author: R.L. Stine. Publisher: Scholastic, 1999. ISBN: 0590996525. Publisher series no: 184. Book ID: 1249. 135 pages.	1249	184
07-09	07	09	Nightmares!		Cave of Fear			Cave of Fear. Author: Don Wulffson. Publisher: Price Stern Sloan, 1995. ISBN: 0843138610. Publisher series no: 285. Book ID: 1808. 126 pages.	1808	285
07-10	07	10	Nightmares!		Valley of the Screaming Statues			Valley of the Screaming Statues. Author: Don Wulffson. Publisher: Price Stern Sloan, 1995. ISBN: 0843138637. Publisher series no: 285. Book ID: 1810. 126 pages.	1810	285
07-11	07	11	Nightmares!		Castle of Horror			Castle of Horror. Author: Don Wulffson. Publisher: Price Stern Sloan, 1995. ISBN: 0843138629. Publisher series no: 285. Book ID: 1809. 126 pages.	1809	285
07-12	07	12	Nightmares!		Planet of Terror			Planet of Terror. Author: Don Wulffson. Publisher: Price Stern Sloan, 1995. ISBN: 0843138602. Publisher series no: 285. Book ID: 1807. 126 pages.	1807	285
07-13	07	13	Lifegames		Woman Up the Corporate Ladder			Woman Up the Corporate Ladder. Author: Angela Harper. Publisher: Signet, 1983. Publisher series no: 224. Book ID: 1389.	1389	224
07-14	07	14	Lifegames		Starstruck			Starstruck. Author: Angela Harper. Publisher: Signet, 1983. ISBN: 0451122607. Publisher series no: 224. Book ID: 1391. 192 pages.	1391	224
07-15	07	15	Lifegames		Woman in Power Politics			Woman in Power Politics. Author: Angela Harper. Publisher: Signet, 1983. ISBN: 0451122615. Publisher series no: 224. Book ID: 1392.	1392	224
07-16	07	16	Lifegames		Match Point			Match Point. Author: Angela Harper. Publisher: Signet, 1983. Publisher series no: 224. Book ID: 1394.	1394	224
07-17	07	17-19	Endless Quest		Dungeon of Dread			Dungeon of Dread. Author: Rose Estes. Publisher: TSR, 1982. ISBN: 0935696865. Publisher series no: 79. Book ID: 899. 128 pages (plus illustrations on unnumbered pages).	899	79
07-20	07	20-21	Endless Quest		Mountain of Mirrors			Mountain of Mirrors. Author: Rose Estes. Publisher: TSR, 1982. ISBN: 0935696873. Publisher series no: 79. Book ID: 900. 153 pages.	900	79
07-22	07	22-23	Endless Quest		Pillars of Pentegarn			Pillars of Pentegarn. Author: Rose Estes. Publisher: TSR, 1982. ISBN: 093569692X. Publisher series no: 79. Book ID: 901. 153 pages.	901	79
07-24	07	24-25	Endless Quest		Return to Brookmere			Return to Brookmere. Author: Rose Estes. Publisher: TSR, 1982. ISBN: 0935696938. Publisher series no: 79. Book ID: 902. 153 pages.	902	79
07-26	07	26	Endless Quest		Revolt of the Dwarves			Revolt of the Dwarves. Author: Rose Estes. Publisher: TSR, 1983. ISBN: 0880380209. Publisher series no: 79. Book ID: 903. 157 pages.	903	79
07-27	07	27	Endless Quest		Revenge of the Rainbow Dragons			Revenge of the Rainbow Dragons. Author: Rose Estes. Publisher: TSR, 1983. ISBN: 0880380217. Publisher series no: 79. Book ID: 904. 157 pages.	904	79
07-28	07	28	Endless Quest		Dragon of Doom			Dragon of Doom. Author: Rose Estes. Publisher: TSR, 1983. ISBN: 0880381000. Publisher series no: 79. Book ID: 911. 157 pages.	911	79
07-29	07	29	Endless Quest		Raid on Nightmare Castle			Raid on Nightmare Castle. Author: Catherine McGuire. Publisher: TSR, 1983. ISBN: 0880381019. Publisher series no: 79. Book ID: 912. 157 pages.	912	79
07-30	07	30	Endless Quest		Under Dragon's Wing			Under Dragon's Wing. Author: John Kendall. Publisher: TSR, 1984. ISBN: 0880380764. Publisher series no: 79. Book ID: 913. 157 pages.	913	79
07-31	07	31	Endless Quest		Dragon's Ransom, The			Dragon's Ransom, The. Author: Laura French. Publisher: TSR, 1984. ISBN: 0880380772. Publisher series no: 79. Book ID: 914. 157 pages.	914	79
07-32	07	32	Endless Quest		Captive Planet			Captive Planet. Author: Morris Simon. Publisher: TSR, 1984. ISBN: 0880380780. Publisher series no: 79. Book ID: 915. 157 pages.	915	79
07-33	07	33	Endless Quest		King's Quest			King's Quest. Author: Tom McGowen. Publisher: TSR, 1984. ISBN: 0880380799. Publisher series no: 79. Book ID: 916. 157 pages.	916	79
07-34	07	34	Endless Quest		Conan the Undaunted			Conan the Undaunted. Author: James M. Ward. Publisher: TSR, 1984. ISBN: 0880381205. Publisher series no: 79. Book ID: 917. 157 pages.	917	79
07-35	07	35	Endless Quest		Conan and the Prophecy			Conan and the Prophecy. Author: Roger E. Moore. Publisher: TSR, 1984. ISBN: 0880381213. Publisher series no: 79. Book ID: 918. 157 pages.	918	79
07-36	07	36	Endless Quest		Duel of the Masters			Duel of the Masters. Author: Chris Martindale. Publisher: TSR, 1984. ISBN: 088038154X. Publisher series no: 79. Book ID: 919. 157 pages.	919	79
07-37	07	37	Endless Quest		Endless Catacombs, The			Endless Catacombs, The. Author: Margaret (Baldwin) Weis. Publisher: TSR, 1984. ISBN: 0880381620. Publisher series no: 79. Book ID: 920. 157 pages.	920	79
07-38	07	38-39	Endless Quest		Blade of the Young Samurai			Blade of the Young Samurai. Author: Morris Simon. Publisher: TSR, 1984. ISBN: 0880381558. Publisher series no: 79. Book ID: 921. 157 pages.	921	79
07-40	07	40	Endless Quest		Trouble on Artule			Trouble on Artule. Author: Catherine McGuire. Publisher: TSR, 1984. ISBN: 0880381698. Publisher series no: 79. Book ID: 922. 157 pages.	922	79
07-41	07	41	Endless Quest		Conan the Outlaw			Conan the Outlaw. Author: Roger E. Moore. Publisher: TSR, 1984. ISBN: 0880382228. Publisher series no: 79. Book ID: 923. 157 pages.	923	79
07-42	07	42	Endless Quest		Tarzan and the Well of Slaves			Tarzan and the Well of Slaves. Author: Dougles Niles. Publisher: TSR, 1985. ISBN: 0880382066. Publisher series no: 79. Book ID: 924. 157 pages.	924	79
07-43	07	43	Endless Quest		Lair of the Lich			Lair of the Lich. Author: Bruce Algozin. Publisher: TSR, 1985. ISBN: 0880382120. Publisher series no: 79. Book ID: 925. 157 pages.	925	79
07-44	07	44	Endless Quest		Mystery of the Ancients			Mystery of the Ancients. Author: Morris Simon. Publisher: TSR, 1985. ISBN: 0880382171. Publisher series no: 79. Book ID: 926. 157 pages.	926	79
07-45	07	45	Endless Quest		Tower of Darkness			Tower of Darkness. Author: Regina Oehler Fultz. Publisher: TSR, 1985. ISBN: 088038204X. Publisher series no: 79. Book ID: 927. 157 pages.	927	79
07-46	07	46	Endless Quest		Fireseed, The			Fireseed, The. Author: Morris Simon. Publisher: TSR, 1985. ISBN: 088038171X. Publisher series no: 79. Book ID: 928. 157 pages.	928	79
07-47	07	47	Endless Quest		Tarzan and the Tower of Diamonds			Tarzan and the Tower of Diamonds. Author: Richard Reinsmith. Publisher: TSR, 1985. ISBN: 0880382058. Publisher series no: 79. Book ID: 929. 157 pages.	929	79
07-48	07	48	Endless Quest		Prisoner of Elderwood			Prisoner of Elderwood. Author: Bruce Algozin. Publisher: TSR, 1986. ISBN: 088038283X. Publisher series no: 79. Book ID: 930. 157 pages.	930	79
07-49	07	49	Endless Quest		Knight of Illusion			Knight of Illusion. Author: Mary L. Kirchoff. Publisher: TSR, 1986. ISBN: 0880382848. Publisher series no: 79. Book ID: 931. 159 pages.	931	79
07-50	07	50	Endless Quest		Claw of the Dragon			Claw of the Dragon. Author: Bruce Algozin. Publisher: TSR, 1986. ISBN: 0880383062. Publisher series no: 79. Book ID: 932. 159 pages.	932	79
07-51	07	51	Endless Quest		Vision of Doom			Vision of Doom. Author: Mary L. Kirchoff. Publisher: TSR, 1986. ISBN: 0880383070. Publisher series no: 79. Book ID: 933. 160 pages.	933	79
07-52	07	52	Endless Quest		Song of the Dark Druid			Song of the Dark Druid. Author: Josepha Sherman. Publisher: TSR, 1987. ISBN: 0880384425. Publisher series no: 79. Book ID: 934. 157 pages.	934	79
07-53	07	53	Endless Quest		Dungeon of Fear			Dungeon of Fear. Author: Michael Andews. Publisher: TSR, 1994. Publisher series no: 79. Book ID: 886.	886	79
07-54	07	54	Endless Quest		Castle of the Undead			Castle of the Undead. Author: George Barr. Publisher: TSR, 1994. Publisher series no: 79. Book ID: 887.	887	79
07-55	07	55	Endless Quest		Secret of the Djinn			Secret of the Djinn. Author: Jean Rabe. Publisher: TSR, 1994. Publisher series no: 79. Book ID: 888.	888	79
07-56	07	56	Endless Quest		Siege of the Tower			Siege of the Tower. Author: Ken Antilles. Publisher: TSR, 1994. Publisher series no: 79. Book ID: 889.	889	79
07-57	07	57	Endless Quest		Wild Ride, A			Wild Ride, A. Author: Louis Anderson. Publisher: TSR, 1994. Publisher series no: 79. Book ID: 890.	890	79
07-58	07	58	Endless Quest		Forest of Darkness			Forest of Darkness. Author: Michael Andrews. Publisher: TSR, . Publisher series no: 79. Book ID: 891.	891	79
07-59	07	59	Endless Quest		American Knights			American Knights. Author: Nicholas (Nick) Pollotta. Publisher: TSR, 1995. Publisher series no: 79. Book ID: 892.	892	79
07-60	07	60	Endless Quest		Night of the Tiger			Night of the Tiger. Author: Jean Rabe. Publisher: TSR, 1995. Publisher series no: 79. Book ID: 893.	893	79
07-61	07	61	Endless Quest		Galactic Challenge			Galactic Challenge. Author: Allen Varney. Publisher: TSR, 1995. Publisher series no: 79. Book ID: 894.	894	79
07-62	07	62	Endless Quest		Bigby's Curse			Bigby's Curse. Author: Anne K. Brown. Publisher: TSR, 1995. Publisher series no: 79. Book ID: 895.	895	79
07-63	07	63	Endless Quest		24-Hour War, The			24-Hour War, The. Author: Nicholas (Nick) Pollota. Publisher: TSR, 1995. Publisher series no: 79. Book ID: 896.	896	79
08-01	08	01	Find Your Fate - Random House		Thundercats and the Ghost Warrior, The			Thundercats and the Ghost Warrior, The. Author: H. William Stine, Megan Stine. Publisher: Random House, 1985. Publisher series no: 163. Book ID: 1126.	1126	163
08-02	08	02	Find Your Fate - Random House		Thundercats and the Snowmen of Hook Mountain, The			Thundercats and the Snowmen of Hook Mountain, The. Author: H. William Stine, Megan Stine. Publisher: Random House, 1985. Publisher series no: 163. Book ID: 1127.	1127	163
08-03	08	03	Find Your Fate - Random House		Three Investigators in: The Case of the Weeping Coffin, The			Three Investigators in: The Case of the Weeping Coffin, The. Author: H. William Stine, Megan Stine. Publisher: Random House, 1985. Publisher series no: 163. Book ID: 1124.	1124	163
08-04	08	04	Find Your Fate - Random House		Three Investigators in: The Case of the Dancing Dinosaur, The			Three Investigators in: The Case of the Dancing Dinosaur, The. Author: Rose Estes. Publisher: Random House, 1985. Publisher series no: 163. Book ID: 1125.	1125	163
08-05	08	05	Find Your Fate - Random House		Three Investigators in: The Case of the House of Horrors, The			Three Investigators in: The Case of the House of Horrors, The. Author: H. William Stine, Megan Stine. Publisher: Random House, 1986. Publisher series no: 163. Book ID: 1130.	1130	163
08-06	08	06	Find Your Fate - Random House		Three Investigators in: The Case of the Savage Statue, The			Three Investigators in: The Case of the Savage Statue, The. Author: M.V. Carey. Publisher: Random House, 1987. Publisher series no: 163. Book ID: 1131.	1131	163
08-07	08	07	Find Your Fate - Random House		Trail of Death, The			Trail of Death, The. Author: Rose Estes. Publisher: Random House, 1985. Publisher series no: 163. Book ID: 1128.	1128	163
08-08	08	08	Find Your Fate - Random House		Mystery of the Turkish Tattoo, The			Mystery of the Turkish Tattoo, The. Author: Rose Estes. Publisher: Random House, 1986. Publisher series no: 163. Book ID: 1129.	1129	163
08-09	08	09	Find Your Fate		Indiana Jones and the Curse of Horror Island			Indiana Jones and the Curse of Horror Island. Author: R.L. Stine. Publisher: Sphere, 1984. Publisher series no: 159. Book ID: 1075.	1075	159
08-10	08	10	Find Your Fate		Indiana Jones and the Lost Treasure of Sheba			Indiana Jones and the Lost Treasure of Sheba. Author: Rose Estes. Publisher: Sphere, 1984. Publisher series no: 159. Book ID: 1076.	1076	159
08-11	08	11	Find Your Fate		Indiana Jones and the Giants of the Silver Tower			Indiana Jones and the Giants of the Silver Tower. Author: R.L. Stine. Publisher: Sphere, 1984. Publisher series no: 159. Book ID: 1077.	1077	159
08-12	08	12-13	Find Your Fate		Indiana Jones and the Eye of the Fates			Indiana Jones and the Eye of the Fates. Author: Richard Wenk. Publisher: Sphere, 1984. Publisher series no: 159. Book ID: 1078.	1078	159
08-14	08	14	Find Your Fate		Indiana Jones and the Cup of the Vampire			Indiana Jones and the Cup of the Vampire. Author: Andrew Helfer. Publisher: Sphere, 1984. Publisher series no: 159. Book ID: 1079.	1079	159
08-15	08	15	Find Your Fate		Indiana Jones and the Legion of Death			Indiana Jones and the Legion of Death. Author: Richard Wenk. Publisher: Sphere, 1984. Publisher series no: 159. Book ID: 1080.	1080	159
08-16	08	16, 69	Find Your Fate		Indiana Jones and the Cult of the Mummy's Crypt			Indiana Jones and the Cult of the Mummy's Crypt. Author: R.L. Stine. Publisher: Sphere, 1985. Publisher series no: 159. Book ID: 1081.	1081	159
08-17	08	17	Find Your Fate		Indiana Jones and the Dragon of Vengeance			Indiana Jones and the Dragon of Vengeance. Author: H. William Stine, Megan Stine. Publisher: Sphere, 1985. Publisher series no: 159. Book ID: 1082.	1082	159
08-18	08	18	Find Your Fate		Morgan Swift and the Kidnapped Goddess			Morgan Swift and the Kidnapped Goddess. Author: Sara Hughes. Publisher: Sphere, 1985. Publisher series no: 159. Book ID: 1084.	1084	159
08-19	08	19-20	Find Your Fate		James Bond in Win, Place, or Die			James Bond in Win, Place, or Die. Author: R.L. Stine. Publisher: Sphere, 1985. Publisher series no: 159. Book ID: 1085.	1085	159
08-21	08	21	Find Your Fate		James Bond in Strike It Deadly			James Bond in Strike It Deadly. Author: Barbara Siegel, Scott Siegel. Publisher: Sphere, 1985. Publisher series no: 159. Book ID: 1086.	1086	159
08-22	08	22	Find Your Fate		James Bond in Programmed for Danger			James Bond in Programmed for Danger. Author: Jean M. Favors. Publisher: Sphere, 1985. Publisher series no: 159. Book ID: 1087.	1087	159
08-23	08	23	Find Your Fate		James Bond in Barracuda Run			James Bond in Barracuda Run. Author: Steven Otfinoski. Publisher: Sphere, 1985. Publisher series no: 159. Book ID: 1088.	1088	159
08-24	08	24	Find Your Fate		Morgan Swift and the Treasure of Crocodile Key			Morgan Swift and the Treasure of Crocodile Key. Author: Sara Hughes. Publisher: Sphere, 1985. ISBN: 0345326725. Publisher series no: 159. Book ID: 1089. 106 pages.	1089	159
08-25	08	25, 70	Find Your Fate		Indiana Jones and the Ape Slaves of Howling Island			Indiana Jones and the Ape Slaves of Howling Island. Author: R.L. Stine. Publisher: Sphere, 1987. ISBN: 0345338820. Publisher series no: 159. Book ID: 1090. 116 pages.	1090	159
08-26	08	26	Find Your Fate - G. I. Joe		Operation: Star Raider			Operation: Star Raider. Author: Eric Affabee (R.L. Stine). Publisher: Ballantine, 1985. ISBN: 0345326652. Publisher series no: 161. Book ID: 1098. 89 pages.	1098	161
08-27	08	27	Find Your Fate - G. I. Joe		Operation: Dragon Fire			Operation: Dragon Fire. Author: William Sno. Publisher: Ballantine, 1985. Publisher series no: 161. Book ID: 1099.	1099	161
08-28	08	28	Find Your Fate - G. I. Joe		Operation: Terror Trap			Operation: Terror Trap. Author: Carl Cassler, G.V. Macrae. Publisher: Ballantine, 1985. Publisher series no: 161. Book ID: 1100.	1100	161
08-29	08	29	Find Your Fate - G. I. Joe		Operation: Robot Assassin			Operation: Robot Assassin. Author: H. William Stine, Megan Stine. Publisher: Ballantine, 1985. Publisher series no: 161. Book ID: 1101.	1101	161
08-30	08	30	Find Your Fate - G. I. Joe		Everglades Swamp Terror, The			Everglades Swamp Terror, The. Author: Eric Affabee (R.L. Stine). Publisher: Ballantine, 1986. ISBN: 0345329864. Publisher series no: 161. Book ID: 1102. 89 pages.	1102	161
08-31	08	31	Find Your Fate - G. I. Joe		Operation: Death Stone			Operation: Death Stone. Author: Barbara Siegel, Scott Siegel. Publisher: Ballantine, 1986. ISBN: 0345329368. Publisher series no: 161. Book ID: 1103. 89 pages.	1103	161
08-32	08	32	Find Your Fate - G. I. Joe		Operation: Deadly Decoy			Operation: Deadly Decoy. Author: R.L. Stine. Publisher: Ballantine, 1986. ISBN: 0345329376. Publisher series no: 161. Book ID: 1104. 89 pages.	1104	161
08-33	08	33	Find Your Fate - G. I. Joe		Operation: Death-Ray			Operation: Death-Ray. Author: H. William Stine, Megan Stine. Publisher: Ballantine, 1986. Publisher series no: 161. Book ID: 1105.	1105	161
